file	key	english	chinese
BUGOptions_RevDCMGameText.xml	TXT_KEY_BUG_OPT_REVDCM__REVDCMHIDDENATTITUDE_TEXT	Display detailed AI attitude info	显示 AI 详细态度信息
BUGOptions_RevDCMGameText.xml	TXT_KEY_BUG_OPT_REVDCM__REVDCMHIDDENATTITUDE_HOVER	When checked, enables the Hidden Attitude Mod by DaveMcW	勾选后，启用 DaveMcW 制作的隐藏态度模组
BUGOptions_RevDCMGameText.xml	TXT_KEY_BUG_OPT_REVDCM__OC_RESPAWN_HOLY_CITIES_TEXT	Holy City Relocation	圣城迁移
BUGOptions_RevDCMGameText.xml	TXT_KEY_BUG_OPT_REVDCM__OC_RESPAWN_HOLY_CITIES_HOVER	Allows inquisitions to purge Holy Cities; if there exists a civilization that has two cities with the religion of the purged holy city, the holy city will relocate	允许宗教审判清洗圣城；若某个文明拥有两座信奉被清洗圣城之宗教的城市，则圣城将迁移至该处
BUGOptions_RevDCMGameText.xml	TXT_KEY_BUG_OPT_REVDCM__LIMITED_RELIGIONS_EXCEPTIONS_TEXT	Limited Religions Exceptions	有限宗教例外
BUGOptions_RevDCMGameText.xml	TXT_KEY_BUG_OPT_REVDCM__LIMITED_RELIGIONS_EXCEPTIONS_HOVER	When selected, Limited Religions will still allow multiple religion founding for single city civs and rebels	勾选后，即便启用有限宗教，单城文明与叛军仍可创立多种宗教
BUGOptions_RevDCMGameText.xml	TXT_KEY_BUG_OPT_REVDCM__OC_LIMITED_RELIGIONS_TEXT	Limited Religions	有限宗教
BUGOptions_RevDCMGameText.xml	TXT_KEY_BUG_OPT_REVDCM__OC_LIMITED_RELIGIONS_HOVER	A civ can only found one religion and thus possess only one holy city (unless more are obtained through conquest); Causes a more equal spread of religions in a game creating more diplomatic religious tensions	一个文明只能创立一种宗教，因而只拥有一座圣城（除非通过征服获得更多）；这会使各宗教在游戏中传播得更均衡，从而制造更多外交上的宗教紧张
BUGOptions_RevDCMGameText.xml	TXT_KEY_BUG_OPT_REVDCM__CHOOSE_RELIGION_TEXT	Choose Religions	选择宗教
BUGOptions_RevDCMGameText.xml	TXT_KEY_BUG_OPT_REVDCM__CHOOSE_RELIGION_HOVER	Works the same as the game option version, except that you not only choose your own founding faith, but also the AI's	与游戏选项版本作用相同，区别在于你不仅可选择自己创立的信仰，还可选择 AI 的信仰
BUGOptions_RevoultionGameText.xml	TXT_KEY_BUG_OPT_REVOLUTION__ACTIVEPOPUP_TEXT	RevInit Popup	革命初始化弹窗
BUGOptions_RevoultionGameText.xml	TXT_KEY_BUG_OPT_REVOLUTION__ACTIVEPOPUP_HOVER	Display popup on initialization indicating what components are active	初始化时显示弹窗，标明哪些组件处于启用状态
