file	key	english	chinese
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_CAP_SPEECH_DENY	Young people speaking their minds, power to the people![NEWLINE][NEWLINE]The beatniks and journalists have not yet turned to violence, and there is still time to bring the situation to a peaceful conclusion.  Honoring their request is by far the quickest and easiest path to keeping these cities in your empire for the forseeable future.  However, if you decide to keep your current practices, you may yet have time to improve other aspects of these cities so they would have nothing to complain about even if they could complain.  You may also choose to bribe the agitators and they will drop their cause and say whatever you want them to.	年轻人畅所欲言，还政于民！[NEWLINE][NEWLINE]那些愤世者与报人尚未诉诸暴力，仍有时间将局面引向和平的收场。答应他们的请求，无疑是让这些城市在可预见的将来留在你帝国之内最快捷、最省事的途径。不过，你若决意维持现行做法，或许还有时间去改善这些城市的其他方面，让他们纵有牢骚可发，也无从可发。你也可以选择收买那些煽动者，他们便会放弃主张，你要他们说什么，他们便说什么。
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_CAP_LEAD_REQUEST	calling for a change in leadership!	呼吁更换领导人！
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_CAP_LEAD_CEDE	Demonstrations have broken out, asking that you cede power to	示威已然爆发，要求你把权力让予
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_CAP_LEAD_CONCLUSION	The protesters have not yet turned to violence, and there is still time to bring the situation to a peaceful conclusion.  Like all good despots, you are of course the best hope for your people.  You just need to remind them of the glory of your rule, either by improving their situation, vanquishing your enemies, or moving lots of soldiers into their towns.  Erecting shiny statues of yourself will also quiet the dissenters.[NEWLINE][NEWLINE]However, if you cling to power now, you may face a civil war in the future!  Honoring their request would bring only a temporary end to your rule, as there is every reason to believe your heirs will regain power in the future.	抗议者尚未诉诸暴力，仍有时间将局面引向和平的收场。一如所有称职的暴君，你自然是你子民最大的希望。你只需提醒他们你统治的荣光，或改善他们的处境，或击溃你的敌人，或往他们的城镇中大举调兵。为自己竖立几座光鲜的雕像，也能让异见者噤声。[NEWLINE][NEWLINE]然而，你若此刻紧抓权力不放，日后或将面临一场内战！答应他们的请求，只会为你的统治带来暂时的终结，因为完全有理由相信你的后嗣将在未来重掌大权。
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_CAP_LEAD_RULER	could not possibly be half the ruler you are.  (If you take this option, your civ will be automated for some number of turns, then peacefully returned to your control)	绝不可能有你一半的君王之才。（若你选择此项，你的文明将被自动托管若干回合，随后和平地交还你掌控）
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_CAP_LEAD_ELECTION	Demonstrations have broken out, asking that you face an election against	示威已然爆发，要求你参加一场竞选，对手是
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_CAP_LEAD_BUYOFF	If you win a fair and open election, the protests will disappear and your power will not be questioned.  It may also be possible to guarantee you 'victory', if you catch my drift, but it will be costly and the slight could be detected with very negative consequences.  Denying their request for an election will call into question your committment to open government and make your opponents more likely to fight in the future!	你若在一场公正、公开的选举中获胜，抗议便会消散，你的权力也不再受质疑。也有可能确保你‘胜选’，如果你懂我的意思，可这代价不菲，而且这份手脚一旦被察觉，后果会极为负面。拒绝他们的选举请求，会令你对开明政治的承诺遭到质疑，也会让你的对手日后更倾向于诉诸武力！
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_CAP_RULE_DEMAND	demanding a change in leadership!	强烈要求更换领导人！
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_CAP_RULE_CEDE	Armies are gathering in the countryside, readying for a fight if you do not cede power to	军队正在乡间集结，只待你不肯把权力让予对方便开战，对象是
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_CAP_RULE_TERRIBLE	This is truly a terrible situation.  Like all good despots, you are of course the best hope for your people, but some how they simply cannot see the light.  Now you must decide what legacy you will leave.[NEWLINE][NEWLINE]You could meet the challenge with force, and your cities would rise up as	这当真是一个糟糕透顶的局面。一如所有称职的暴君，你自然是你子民最大的希望，可他们不知怎地就是看不清这一点。如今你必须决定，你要留下怎样的身后之名。[NEWLINE][NEWLINE]你可以以武力应对这场挑战，你的城市将奋起化为
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_CAP_RULE_FIGHT	to fight. Your troops in these cities will be surrounded by a hostile population and may take heavy losses or even defect.  The defenses of some of these cities may crumble immeadiately, others may be able to retain some semblence of control.  If you then managed to reunite your country, the glory would be tremendous.  But if you fail, you will long be vilified as your obstinance will have brought civil war into your homeland![NEWLINE][NEWLINE]There is no glory in surrendering to the will of the people, but it would preserve all that you have built.  Honoring their request would bring only a temporary end to your rule, as there is every reason to believe your heirs will regain power in the future.	奋起而战。你在这些城市中的部队将被满怀敌意的民众包围，可能蒙受惨重损失，甚至倒戈。这些城市中有些防务或许会即刻土崩瓦解，另一些则或许还能保住几分掌控。倘若你随后设法重新统一了你的国家，那荣光将无比辉煌。可你若失败，你将长久被人唾骂，因为你的顽固把内战带入了你的家园！[NEWLINE][NEWLINE]屈从于民意毫无荣光可言，可它能保全你所建立的一切。答应他们的请求，只会为你的统治带来暂时的终结，因为完全有理由相信你的后嗣将在未来重掌大权。
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_CAP_RULE_ELECTION	Demonstrators are rioting in the streets, demanding that you face an election against	示威者正在街头暴动，强烈要求你参加一场竞选，对手是
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_CAP_RULE_RISE	If you deny their request, these cities will rise up as	你若拒绝他们的请求，这些城市将奋起化为
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_CAP_RULE_BUYOFF	and fight. Your troops in these cities will be surrounded by a hostile population and will take heavy losses or even defect.  The defenses of some of these cities may crumble immeadiately, others may be able to retain some semblence of control.[NEWLINE][NEWLINE]However, if you win a fair and open election, the riots will disappear and your power will not be questioned. It may also be possible to guarantee you 'victory', if you catch my drift, but it will be costly and the slight could be detected with very negative consequences.	奋起而战。你在这些城市中的部队将被满怀敌意的民众包围，将蒙受惨重损失，甚至倒戈。这些城市中有些防务或许会即刻土崩瓦解，另一些则或许还能保住几分掌控。[NEWLINE][NEWLINE]然而，你若在一场公正、公开的选举中获胜，暴动便会消散，你的权力也不再受质疑。也有可能确保你‘胜选’，如果你懂我的意思，可这代价不菲，而且这份手脚一旦被察觉，后果会极为负面。
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_VASSAL_CAP	capitulated	已归降
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_VASSAL_FREE	free	自由
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_IND_PEACE_REQUEST	asking for independence.  These citizens feel your empire is not meeting their needs and wish to strike out on their own and form	要求独立。这些市民觉得你的帝国未能满足他们的需求，希望自立门户，组建
RevolutionText_CIV4GameText.xml	TXT_KEY_REV_IND_PEACE_REQUEST_ALIVE	asking to join the %s.  These citizens feel your empire is not meeting their needs and wish to join your rival.	要求加入%s。这些市民觉得你的帝国未能满足他们的需求，希望投奔你的对手。
