TXT_KEY_BUG_OPTIONS_KEY_REMINDER	按 [BOLD]ALT + CTRL + O[\\BOLD] 自定义 %s1
TXT_KEY_BUG_OPTIONS_KEY_REMINDER_MAC	按 [BOLD]ALT + CMD + O[\\BOLD] 自定义 %s1
TXT_KEY_BUG_CREATED_BY_HEADER	由 BUG Mod 制作。
TXT_KEY_BUG_DEFAULT	默认
TXT_KEY_BUG_HELP_OPENING	正在打开 BUG Mod 帮助文件……
TXT_KEY_BUG_HELP_LANGUAGE	BUG Mod Help - ENG.chm
TXT_KEY_BUG_HELP_MISSING_TITLE	未找到帮助文件
TXT_KEY_BUG_HELP_MISSING_BODY	在搜索路径中找不到文件 "%s1"。详情请查看 BUG 选项界面 [ALT + CTRL + O] 的系统标签页。
TXT_KEY_CIV_MINOR_PEDIA	未提供描述。
TXT_KEY_LEADER_BARBARIAN_PEDIA	未提供描述。
TXT_KEY_BUG_RELIGIOUS_CITY	城市
TXT_KEY_BUG_RELIGIOUS_TEMPLE	神殿：
TXT_KEY_BUG_RELIGIOUS_MONASTARY	修道院：
TXT_KEY_BUG_RELIGIOUS_MISSIONARY	传教士：
TXT_KEY_MISC_NEG_WARNING_GOLD_PER_TURN	[SPACE][COLOR_YELLOW](%D1_Change/回合)[COLOR_REVERT]
TXT_KEY_MISC_POS_WARNING_GOLD_PER_TURN	[SPACE][COLOR_YELLOW](%D1_Change/回合)[COLOR_REVERT]
TXT_KEY_BUG_ERA	%s1 时代
INTERFACE_GREAT_PERSON_NONE	%s1：无
TXT_KEY_BUG_DEAD_CIV	已灭亡
TXT_KEY_CONCEPT_WORKED_TILES	工作地块 (%d1)
TXT_KEY_CONCEPT_CITY_TILES	城市地块 (%d1)
TXT_KEY_CONCEPT_OWNED_TILES	拥有地块 (%d1)
TXT_KEY_CONCEPT_ALL_TILES	全部地块 (%d1)
TXT_KEY_CONCEPT_BASE_MODIFIER	修正 (%D1%%)
TXT_KEY_CONCEPT_SUBTOTAL	小计
TXT_KEY_CONCEPT_TOTAL	合计
TXT_KEY_RAW_YIELD_VIEW_TRADE	[COLOR_HIGHLIGHT_TEXT]查看贸易路线[COLOR_REVERT][NEWLINE]显示该城市的贸易路线。
TXT_KEY_RAW_YIELD_VIEW_FOOD	[COLOR_HIGHLIGHT_TEXT]查看原始食物[COLOR_REVERT][NEWLINE]显示所有 [ICON_FOOD] 来源的明细。
TXT_KEY_RAW_YIELD_VIEW_PRODUCTION	[COLOR_HIGHLIGHT_TEXT]查看原始生产[COLOR_REVERT][NEWLINE]显示所有 [ICON_PRODUCTION] 来源及修正的明细。
