21	命名规则：战斗[BEAST]
22	为战斗单位「BEAST」输入用户自定义的命名规则。
23	命名规则：战斗[CIVILIAN]
24	为战斗单位「CIVILIAN」输入用户自定义的命名规则。
25	将堡垒升级为城堡
26	将城堡升级为要塞
27	建造光之要塞
28	建造城堡
29	建造要塞
30	挖掘坟墓
31	建造家园
32	建造冰之节点
33	建造原力节点
34	款待
35	[ICON_BULLET]与「不思劳作」特性或「牺牲弱者」政策不兼容
36	在世界最富饶的地域深处（且仅在这些地域），阿玛松的宏伟神殿为前来投奔者提供休憩与无尽的馈赠。它们与其说是供奉之所，不如说是款待之地，宛如世上最好的民宿。阿玛松本人被称为丰饶之主。
37	先祖议会
38	永恒之焰
39	[ICON_BULLET]让你能看见对手的研究进度[NEWLINE][ICON_BULLET]让你能看见对手的视野范围[NEWLINE][ICON_BULLET]需要暗议会成员身份
40	[ICON_BULLET]让你能看见对手的研究进度[NEWLINE][ICON_BULLET]让你能看见对手的视野范围[NEWLINE][ICON_BULLET]需要暗议会成员身份
41	丰产
42	丰产（次级）
43	提升城市的[ICON_PRODUCTION]，并移除城市中单位的[LINK=PROMOTION_RUSTED]锈蚀[\\LINK]晋升。
44	魔像轨道
45	[ICON_BULLET]为[LINK=PROMOTION_GOLEM]魔像[\\LINK]赋予「机动 2」晋升
46	壮举公会
47	[TAB]壮举公会坐落于一座华美而繁饰的建筑之中，以石料与大理石砌成，顶覆一座直径逾百英尺的金色穹顶。这穹顶是极为艰巨的工程难题，落成以来曾数度坍塌。四座优雅的塔楼矗立于建筑四角。建筑内部是由列柱与拱券构成的奇妙空间，一路向上延伸至那仿佛悬浮于楼顶的穹顶。内壁镶以彩色大理石与金色马赛克，描绘着传奇场景与历代君王的形象。
48	竞技场
49	地狱王座
50	缪斯
51	虚空石要塞
52	无瑕殉道者
53	黑豹笼舍
54	巨人笼舍
