TXT_KEY_UNIT_DISCIPLE_OF_ACHERON_PEDIA	紧张而狂乱的人们涌向那座废墟之城。是梦引他们来到此地——那是关于一位美丽而燃烧的女王，以及侍奉她的巨龙的梦。当兽人守卫挥舞斧刃、张开獠牙扑向他们，在一场血腥的狂欢中将其屠戮时，他们几乎未作抵抗。他们临死的惨叫呼唤着阿切隆与巴尔，却无人应答他们的祈祷。[PARAGRAPH:1]屠杀的传闻并未吓退后来者。俄耳托斯为他们的热忱所动——尽管他们显然孱弱——便下令让他们有机会一睹自己所呼唤的神裔。这些人被绑缚起来，带往城市深处，投入熊熊烈火，作为献给阿切隆的祭品。[PARAGRAPH:1]大多数人死去了，即便烈焰将其吞噬，仍高呼着颂扬巴尔的话语。但每隔很久便有那么一次，火焰烧断了绑缚之人的绳索，却毫发无损地留下了他。这些人会从火中走出，匍匐在巨龙面前。兽人允许他们留下，而在其仪式之后，火焰似乎便听从他们的号令了。
TXT_KEY_NO_ACTIVE_VOTE_SOURCES	无活跃的议会
TXT_KEY_SECRETARY_GENERAL_UNKNOWN	未知
TXT_KEY_SECRETARY_GENERAL_VACANT	空缺
TXT_KEY_TURNS_UNTIL_NEXT_VOTE	距下次投票的回合数
TXT_KEY_MSG_VOTE_PASSED	%s1_council 的成员通过了决议 %s2_resolution。
TXT_KEY_MSG_VOTE_REJECTED	%s1_council 的成员否决了决议 %s2_resolution。
TXT_KEY_MSG_VOTE_PASSED_AGAIN	%s1_council 的成员确认了决议 %s2_resolution。
TXT_KEY_MSG_VOTE_REPEALED	%s1_council 的成员废除了决议 %s2_resolution。
TXT_KEY_VOTE_HELP_REQUIRED_VOTES	[ICON_BULLET]需要 %d2 张总票数中的 %d1 张
TXT_KEY_VOTE_HELP_POPULATION_THRESHOLD	[ICON_BULLET]需要全部票数的 %d1%%
TXT_KEY_VOTE_HELP_MIN_VOTERS	[ICON_BULLET]需要至少 %d1 名投票成员
TXT_KEY_VOTE_HELP_ALL_PLAYERS	[ICON_BULLET]所有玩家都必须是投票成员
TXT_KEY_VOTE_HELP_CIV_VOTING	[ICON_BULLET]每个成员拥有一票
TXT_KEY_VOTE_HELP_CIV_VOTING_RELIGION	[ICON_BULLET]每个拥有 %F2_Religion 城市的成员拥有一票
TXT_KEY_VOTE_HELP_CITY_VOTING	[ICON_BULLET]每个成员每座城市拥有一票
TXT_KEY_VOTE_HELP_CITY_VOTING_RELIGION	[ICON_BULLET]每个成员每座 %F2_Religion 城市拥有一票
TXT_KEY_VOTE_HELP_POP_VOTING	[ICON_BULLET]每个成员每点人口拥有一票
TXT_KEY_VOTE_HELP_POP_VOTING_RELIGION	[ICON_BULLET]每个成员每点 %F2_Religion 人口拥有一票
TXT_KEY_VOTE_HELP_STATE_RELIGION_VOTE_PERCENT	[ICON_BULLET]拥有正确国教的玩家多获得 %D1%% 的票数
TXT_KEY_VOTE_HELP_SEC_GEN_ELECTION	[ICON_BULLET]选举 %s1（可提出决议）
TXT_KEY_VOTE_HELP_VICTORY	[ICON_BULLET]使一名玩家赢得外交胜利
TXT_KEY_VOTE_HELP_TRADE_ROUTES	[ICON_BULLET]为所有玩家提供 %D1 条贸易路线（[ICON_TRADE]）
TXT_KEY_VOTE_HELP_NO_NUKES	[ICON_BULLET]禁止核武
TXT_KEY_VOTE_HELP_FREE_TRADE	[ICON_BULLET]所有玩家之间的贸易路线（[ICON_TRADE]）
TXT_KEY_VOTE_HELP_NO_BONUS	[ICON_BULLET]禁止所有成员使用 %F1
TXT_KEY_VOTE_HELP_FORCE_CIVIC	[ICON_BULLET]所有成员都必须采用 [LINK=literal]%s1[\\LINK]
TXT_KEY_VOTE_HELP_ENABLES_ABILITY	[ICON_BULLET]启用能力 [LINK=literal]%s1[\\LINK]
TXT_KEY_VOTE_HELP_ENABLES_SPELL	[ICON_BULLET]启用法术 [LINK=literal]%s1[\\LINK]
TXT_KEY_VOTE_HELP_DEFENSIVE_PACT	[ICON_BULLET]所有成员彼此签订防御同盟
TXT_KEY_VOTE_HELP_OPEN_BORDERS	[ICON_BULLET]所有成员彼此签订开放边境协议
TXT_KEY_VOTE_HELP_FORCE_PEACE	[ICON_BULLET]所有其他成员与 %s1 签订和平条约
TXT_KEY_VOTE_HELP_FORCE_PEACE_SOMEONE	[ICON_BULLET]所有其他成员与一名选定成员签订和平条约
TXT_KEY_VOTE_HELP_FORCE_NO_TRADE	[ICON_BULLET]所有成员取消与 %s1 的所有协议
TXT_KEY_VOTE_HELP_FORCE_NO_TRADE_SOMEONE	[ICON_BULLET]所有成员取消与一名选定的非成员的所有协议
TXT_KEY_VOTE_HELP_FORCE_WAR	[ICON_BULLET]所有成员向 %s1 宣战
TXT_KEY_VOTE_HELP_FORCE_WAR_SOMEONE	[ICON_BULLET]所有成员向一名选定的非成员宣战
TXT_KEY_VOTE_HELP_NO_OUTSIDE_TECH_TRADES	[ICON_BULLET]成员不得与非成员交易
TXT_KEY_VOTE_HELP_CULTURE_NEEDS_EMPTY_RADIUS	[ICON_BULLET]无法通过文化夺取其他成员的领土
TXT_KEY_VOTE_RECEIVE_UNIT_COST	[ICON_BULLET]每个能支付 %d1 %F2 的成员获得 [LINK=literal]%s3[\\LINK]
TXT_KEY_VOTE_RECEIVE_UNIT	[ICON_BULLET]每个成员获得 %s1
TXT_KEY_VOTE_HELP_CRIME	[ICON_BULLET]使全球犯罪率 %D1
TXT_KEY_VOTE_HELP_REASSIGN_CITY	[ICON_BULLET]重新分配一座城市的归属
